pipeline_code_name,dataset_code_name,file_name,scheduler_start_date,scheduler_end_date,import_rec_count,valid_rec_count,Error_rec_count,dataset_moved_count,scheduler_status,errorlog_exception,import_by,scheduler_gid
"PIPE_0548 - PD Ledger New Lines - Madurai Lake View","DS459 - PDLedger-MaduraiLakeView-NI","Madurai lake view opening balance new lines.xlsx","2025-07-31 12:57:24","2025-07-31 12:57:24",0,0,0,0,Completed,NULL,System,8825
"PIPE_0548 - PD Ledger New Lines - Madurai Lake View","DS459 - PDLedger-MaduraiLakeView-NI","Madurai lake view opening balance new lines v1.xlsx","2025-07-31 12:58:44","2025-07-31 12:58:45",0,0,0,0,Completed,NULL,System,8826
"PIPE_0548 - PD Ledger New Lines - Madurai Lake View","DS459 - PDLedger-MaduraiLakeView-NI","Madurai lake view opening balance new lines v2.xlsx","2025-07-31 13:00:28","2025-07-31 13:00:28",0,0,0,0,Completed,NULL,System,8827
"PIPE_0548 - PD Ledger New Lines - Madurai Lake View","DS459 - PDLedger-MaduraiLakeView-NI","Madurai lake view opening balance new lines v3.xlsx","2025-07-31 13:02:59","2025-07-31 13:02:59",0,0,0,0,Completed,NULL,System,8828
"PIPE_0548 - PD Ledger New Lines - Madurai Lake View","DS459 - PDLedger-MaduraiLakeView-NI","Madurai lake view opening balance new lines v4.xlsx","2025-07-31 14:34:46","2025-07-31 14:34:46",0,0,0,0,Completed,NULL,System,8829
"PIPE_0548 - PD Ledger New Lines - Madurai Lake View","DS459 - PDLedger-MaduraiLakeView-NI","Madurai lake view opening balance new lines - 310725.xlsx","2025-07-31 14:37:20","2025-07-31 14:37:20",0,0,0,0,Completed,NULL,System,8831
"PIPE_0548 - PD Ledger New Lines - Madurai Lake View","DS459 - PDLedger-MaduraiLakeView-NI","Madurai lake view opening balance new lines 310725.xlsx","2025-07-31 14:39:11","2025-07-31 15:19:41",0,0,0,0,Completed,NULL,System,8832
"PIPE_0548 - PD Ledger New Lines - Madurai Lake View","DS459 - PDLedger-MaduraiLakeView-NI","Madurai lake view opening balance new lines 310725 -1.xlsx","2025-07-31 16:07:51","2025-07-31 16:07:51",0,0,0,0,Completed,NULL,System,8845
"PIPE_0545 - PD  Ledger New Lines - Nashik","DS442 - PDLedger-Nashik-NI","Nashik Opening bal new lines.xlsx","2025-07-29 11:26:39","2025-07-29 11:26:40",0,0,0,0,Completed,NULL,System,8698
"PIPE_0543 - PD Ledger New Lines - Jubilee HIlls","DS491 - PDLedger-Jubilee Hills-NI","Opening Balance Adjustments.xlsx","2025-07-29 12:19:40","2025-07-29 12:19:40",0,0,0,0,Completed,NULL,System,8707
"PIPE_0543 - PD Ledger New Lines - Jubilee HIlls","DS491 - PDLedger-Jubilee Hills-NI","Opening Balance Adjustments 2.xlsx","2025-08-01 12:19:14","2025-08-01 12:19:14",0,0,0,0,Completed,NULL,System,8879
"PIPE_0543 - PD Ledger New Lines - Jubilee HIlls","DS491 - PDLedger-Jubilee Hills-NI","Opening Balance Adjustments 2 010825.xlsx","2025-08-01 12:39:47","2025-08-01 12:39:48",0,0,0,0,Completed,NULL,System,8882
"PIPE_0537 - IPDeposit-CB--Bhubaneshwar--NI","DS473 - ClosingBalance-Bhubaneshwar-NI","6. IP Deposit_Bhubaneswar.xlsx","2025-07-24 16:47:35","2025-07-24 16:47:35",0,0,0,0,Completed,NULL,System,8485
"PIPE_0536 - IPRefund-CB-Bhubaneshwar--NI","DS473 - ClosingBalance-Bhubaneshwar-NI","7. IP Refund_Bhuvaneswar.xlsx","2025-07-24 16:47:50","2025-07-24 16:47:50",0,0,0,0,Completed,NULL,System,8486
"PIPE_0531 - IPDeposit-CB--Chennai--NI","DS426 - ClosingBalance-Chennai--NI","6. IP Deposit_ARAGONDA - Apr-Jun 25.xlsx","2025-07-24 17:38:05","2025-07-24 17:38:05",0,0,0,0,Completed,NULL,System,8505
"PIPE_0531 - IPDeposit-CB--Chennai--NI","DS426 - ClosingBalance-Chennai--NI","6. IP Deposit _Rourkela - Apr-June 25 Q1-25.xlsx","2025-07-25 12:54:14","2025-07-25 12:54:14",0,0,0,0,Completed,NULL,System,8541
"PIPE_0531 - IPDeposit-CB--Chennai--NI","DS426 - ClosingBalance-Chennai--NI","6. IP Deposit _Nellore - Apr-June 25 Q1-25.xlsx","2025-07-25 15:04:54","2025-07-25 15:04:54",0,0,0,0,Completed,NULL,System,8563
"PIPE_0531 - IPDeposit-CB--Chennai--NI","DS426 - ClosingBalance-Chennai--NI","6. IP Deposit _Tondiarpet-Apr-May25 Q1-25.xlsx","2025-07-28 17:34:22","2025-07-28 17:34:22",0,0,0,0,Completed,NULL,System,8680
